Altitude,Roll,Yaw,Airspeed,Pitch,X Acceleration,Y Acceleration,Z Acceleration,Vertical Velocity,Time
1.00282,0,0,0.0771076,0,0.142615,0,0.0189862,0,3.18
1.00282,0,0,0.213443,0,0.359387,0,0.0189862,0,3.29
1.00282,0,0,0.372559,0,0.627889,0,0.0189862,0,3.4
1.00282,0,0,0.608972,0,1.02662,0,0.0189862,0,3.5
1.00282,0,0,0.930861,0,1.62356,0,0.0189862,0,3.62
1.00282,0,0,1.29597,0,2.18506,0,0.0189861,0,3.72
1.00282,0,0,1.66608,0,2.80913,0,0.018986,0,3.83
1.00282,0,0,2.05117,0,3.45844,0,0.0189859,0,3.94
1.00282,0,0,2.50879,0,4.23006,0,0.0189893,0,4.05
1.00282,0,0,3.06945,0,5.17539,0,0.0189891,0,4.17
1.00282,0,0,3.81211,0,6.42761,0,0.0189887,0,4.27
1.00282,0,0,4.70599,0,8.08995,0,0.018988,0,4.38
1.00282,0,0,5.81014,0,9.79652,0,0.0189872,0,4.49
1.00282,0,0,6.73021,0,11.3479,0,0.0189863,0,4.59
1.00282,0,0,7.74223,0,13.2094,0,0.0190013,0,4.71
1.00282,0,0,8.75417,0,14.7605,0,0.0189999,0,4.82
1.00282,0,0,9.85801,0,16.6217,0,0.0189984,0,4.93
1.00282,0,0,10.8698,0,18.3276,0,0.0189968,0,5.04
1.00282,0,0,11.7877,0,19.8754,0,0.0189952,0,5.14
1.00282,0,0,12.6982,0,21.4105,0,0.0190316,0,5.25
1.00282,0,0,13.3816,0,22.5629,0,0.0190301,0,5.37
1.00282,0,0,13.8523,0,23.3566,0,0.0190291,0,5.47
1.00282,0,0,14.1406,0,23.8427,0,0.0190285,0,5.58
1.00282,0,0,14.3832,0,24.2517,0,0.0190279,0,5.69
1.00282,0,0,14.7062,0,24.7963,0,0.0190272,0,5.8
1.00282,0,0,15.0943,0,25.4506,0,0.0190967,0,5.92
1.00282,0,0,15.4556,0,26.1209,0,0.0190958,0,6.02
1.00282,0,0,15.888,0,26.7889,0,0.0190948,0,6.13
1.00282,0,0,16.2079,0,27.3283,0,0.019094,0,6.24
1.00282,0,0,16.3533,0,27.5734,0,0.0190935,0,6.34
1.00282,0,0,15.6966,0,26.4661,0,0.0191778,0,6.46
1.00282,0,0,14.6936,0,24.7749,0,0.0191803,0,6.57
1.00282,0,0,13.6907,0,23.084,0,0.0191824,0,6.67
1.00282,0,0,12.5968,0,21.2396,0,0.0191847,0,6.79
1.00282,0,0,11.6854,0,19.7028,0,0.0191865,0,6.9
1.00282,0,0,10.6829,0,18.0125,0,0.0191883,0,7
1.00282,0,0,9.6805,0,16.3224,0,0.0192725,0,7.12
1.00282,0,0,8.67823,0,14.6324,0,0.0192739,0,7.22
1.00282,0,0,7.67605,0,12.9427,0,0.0192752,0,7.33
1.00282,0,0,6.67395,0,11.253,0,0.0192764,0,7.44
1.00282,0,0,5.67191,0,9.56345,0,0.0192774,0,7.55
1.00282,0,0,4.66994,0,7.874,0,0.0193286,0,7.67
1.00282,0,0,3.75775,0,6.18173,0,0.0193292,0,7.77
1.00282,0,0,2.75164,0,4.4853,0,0.0193297,0,7.88
1.00282,0,0,1.6541,0,2.78893,0,0.0193301,0,7.99
1.00282,0,0,0.73954,0,1.2468,0,0.0193303,0,8.1
1.00282,0,0,0.0213042,0,0.0303164,0,0.019268,0,8.21
1.00282,0,0,0.0957391,0,0.160262,0,0.0193558,0,8.32
1.00282,0,0,0.21605,0,0.385538,0,0.0193558,0,8.43
1.00282,0,0,0.410964,0,0.69266,0,0.0193558,0,8.54
1.00282,0,0,0.641593,0,1.08162,0,0.0193558,0,8.64
1.00282,0,0,1.00402,0,1.69278,0,0.0193558,0,8.75
1.00282,0,0,1.5037,0,2.53532,0,0.0193579,0,8.86
1.00282,0,0,2.32468,0,3.91962,0,0.0193577,0,8.97
1.00282,0,0,3.33676,0,5.62612,0,0.0193572,0,9.08
1.00282,0,0,4.34901,0,7.33288,0,0.0193566,0,9.19
1.00282,0,0,5.36122,0,9.03958,0,0.0193559,0,9.3
1.00282,0,0,6.37337,0,10.7462,0,0.0193549,0,9.41
1.00282,0,0,7.38547,0,12.4527,0,0.0193634,0,9.52
1.00282,0,0,8.39749,0,14.1591,0,0.0193621,0,9.63
1.00282,0,0,9.40944,0,15.8653,0,0.0193607,0,9.74
1.00282,0,0,10.3293,0,17.4163,0,0.0193592,0,9.84
1.00282,0,0,11.3411,0,19.1223,0,0.0193573,0,9.96
1.00282,0,0,12.3527,0,20.9831,0,0.019393,0,10.07
1.00282,0,0,13.3642,0,22.6886,0,0.0193909,0,10.18
1.00282,0,0,14.4676,0,24.3939,0,0.0193887,0,10.29
1.00282,0,0,15.3869,0,25.944,0,0.0193864,0,10.39
1.00282,0,0,16.398,0,27.6488,0,0.0193839,0,10.5
1.00282,0,0,17.4089,0,29.3533,0,0.0193808,0,10.62
1.00282,0,0,18.4197,0,31.0576,0,0.0194464,0,10.72
1.00282,0,0,19.4302,0,32.7615,0,0.0194433,0,10.83
1.00282,0,0,20.4406,0,34.4651,0,0.01944,0,10.94
1.00282,0,0,21.4508,0,36.1684,0,0.0194366,0,11.05
1.00282,0,0,22.4608,0,37.8713,0,0.019433,0,11.17
1.00282,0,0,23.4705,0,39.5738,0,0.0195295,0,11.27
1.00282,0,0,24.48,0,41.276,0,0.0195256,0,11.38
1.00282,0,0,25.4892,0,42.9777,0,0.0195215,0,11.49
1.00282,0,0,26.4065,0,44.679,0,0.0195172,0,11.6
1.00282,0,0,27.4153,0,46.2252,0,0.0195128,0,11.71
1.00282,0,0,28.4238,0,47.9256,0,0.0195086,0,11.81
1.00282,0,0,29.4319,0,49.78,0,0.0196205,0,11.93
1.00282,0,0,30.5315,0,51.4794,0,0.0196155,0,12.04
1.00282,0,0,31.4474,0,53.0239,0,0.0196108,0,12.14
1.00282,0,0,32.4547,0,54.7222,0,0.0196051,0,12.26
1.00282,0,0,33.4617,0,56.4201,0,0.0196001,0,12.36
1.00282,0,0,34.4683,0,58.1173,0,0.0197532,0,12.47
1.00282,0,0,35.4745,0,59.814,0,0.0197474,0,12.58
1.00282,0,0,36.4805,0,61.5101,0,0.0197414,0,12.69
1.00282,0,0,37.486,0,63.2055,0,0.0197352,0,12.8
1.00282,0,0,38.4912,0,64.9004,0,0.0197289,0,12.92
1.00282,0,0,39.4959,0,66.5945,0,0.0197224,0,13.02
1.00282,0,0,40.5003,0,68.288,0,0.0199042,0,13.13
1.00282,0,0,41.413,0,69.9808,0,0.0198973,0,13.24
1.00282,0,0,42.4166,0,71.6729,0,0.0198903,0,13.35
1.00282,0,0,43.511,0,73.3643,0,0.019883,0,13.46
1.00282,0,0,44.4225,0,74.9013,0,0.0198763,0,13.56
1.00282,0,0,45.4248,0,76.7449,0,0.0200634,0,13.68
1.00282,0,0,46.5177,0,78.434,0,0.0200556,0,13.79
1.00282,0,0,47.428,0,79.9689,0,0.0200483,0,13.89
1.00282,0,0,48.4289,0,81.6565,0,0.0200402,0,14
1.00282,0,0,49.4293,0,83.4966,0,0.0200312,0,14.12
1.00282,0,0,50.4292,0,85.0292,0,0.0200235,0,14.22
1.00282,0,0,51.4286,0,86.7143,0,0.020258,0,14.33
1.00282,0,0,52.4275,0,88.3986,0,0.0202491,0,14.44
1.00282,0,0,53.4259,0,90.0819,0,0.02024,0,14.55
1.00282,0,0,54.4237,0,91.7643,0,0.0202308,0,14.66
1.00282,0,0,55.421,0,93.4459,0,0.0202214,0,14.77
1.00282,0,0,56.4177,0,95.1264,0,0.0204778,0,14.88
1.00282,0,0,57.4138,0,96.8061,0,0.020468,0,14.99
1.00282,0,0,58.3189,0,98.3322,0,0.0204589,0,15.09
1.00282,0,0,59.4044,0,100.162,0,0.0204478,0,15.21
1.00282,0,0,60.3085,0,101.687,0,0.020435,0,15.31
1.00282,0,0,61.3023,0,103.362,0,0.020447,0,15.42
1.00282,0,0,62.3858,0,105.189,0,0.0207079,0,15.54
1.00282,0,0,63.2882,0,106.711,0,0.0207068,0,15.64
1.00282,0,0,64.2802,0,108.384,0,0.0207035,0,15.75
1.00282,0,0,65.2715,0,110.207,0,0.0206931,0,15.87
1.00282,0,0,66.2622,0,111.725,0,0.020687,0,15.97
1.00282,0,0,67.2523,0,113.395,0,0.0209969,0,16.08
1.00282,0,0,68.2417,0,115.063,0,0.0209863,0,16.19
1.00282,0,0,69.2304,0,116.73,0,0.0210295,0,16.3
1.00282,0,0,70.2184,0,118.396,0,0.021027,0,16.41
1.00282,0,0,71.116,0,120.061,0,0.0210238,0,16.52
1.00282,0,0,72.1026,0,121.724,0,0.0210169,0,16.63
1.00282,0,0,73.1782,0,123.386,0,0.0213475,0,16.74
1.00282,0,0,74.0738,0,124.897,0,0.0213388,0,16.84
1.00282,0,0,75.1478,0,126.707,0,0.0213283,0,16.96
1.00282,0,0,76.0421,0,128.215,0,0.0213194,0,17.06
1.00282,0,0,77.025,0,130.023,0,0.0212499,0,17.18
1.00282,0,0,78.0965,0,131.679,0,0.0215972,0,17.29
1.00282,0,0,78.9888,0,133.184,0,0.0215723,0,17.39
1.00282,0,0,79.9694,0,134.837,0,0.0215465,0,17.5
1.00282,0,0,80.9493,0,136.49,0,0.0215192,0,17.61
1.00282,0,0,81.9284,0,138.14,0,0.0215009,0,17.72
1.00282,0,0,82.9067,0,139.79,0,0.0214648,0,17.83
1.00282,0,0,83.8842,0,141.438,0,0.0218008,0,17.94
1.00282,0,0,84.8609,0,143.085,0,0.0218525,0,18.05
1.00282,0,0,85.8367,0,144.73,0,0.0218392,0,18.16
1.00282,0,0,86.8117,0,146.374,0,0.0217693,0,18.27
1.00282,0,0,87.7858,0,148.017,0,0.0217404,0,18.38
1.00282,0,0,88.7591,0,149.658,0,0.0220918,0,18.49
1.00282,0,0,89.6431,0,151.297,0,0.0220752,0,18.6
1.00282,0,0,90.6147,0,152.935,0,0.0221197,0,18.71
1.00282,0,0,91.5854,0,154.423,0,0.0222185,0,18.81
1.00282,0,0,92.6433,0,156.207,0,0.022251,0,18.93
1.00282,0,0,93.6122,0,157.84,0,0.0226462,0,19.04
1.00282,0,0,94.4921,0,159.324,0,0.0226631,0,19.15
1.00282,0,0,95.4592,0,160.955,0,0.0226505,0,19.25
1.00282,0,0,96.4254,0,162.584,0,0.0225849,0,19.37
1.00282,0,0,97.3906,0,164.211,0,0.022571,0,19.47
1.00282,0,0,98.3548,0,165.837,0,0.0225414,0,19.58
1.00282,0,0,99.3182,0,167.461,0,0.0229253,0,19.69
1.00282,0,0,100.28,0,169.084,0,0.0228019,0,19.8
1.00282,0,0,101.242,0,170.705,0,0.0228182,0,19.92
1.00282,0,0,102.115,0,172.324,0,0.0228116,0,20.02
1.00282,0,0,103.162,0,173.942,0,0.0227948,0,20.13
1.00282,0,0,104.12,0,175.558,0,0.0232015,0,20.24
1.00282,0,0,104.991,0,177.026,0,0.0231395,0,20.35
1.00282,0,0,105.947,0,178.785,0,0.0231165,0,20.46
1.00282,0,0,106.902,0,180.396,0,0.0230973,0,20.57
1.00282,0,0,107.944,0,182.005,0,0.023078,0,20.68
1.00282,0,0,108.897,0,183.612,0,0.0230585,0,20.79
1.00282,0,0,109.763,0,185.072,0,0.0234998,0,20.9
1.00282,0,0,110.714,0,186.676,0,0.0234796,0,21
1.00282,0,0,111.664,0,188.278,0,0.02354,0,21.11
1.00282,0,0,112.613,0,189.879,0,0.0235395,0,21.22
1.00282,0,0,113.561,0,191.622,0,0.0235768,0,21.34
1.00282,0,0,114.508,0,193.074,0,0.0240572,0,21.44
1.00282,0,0,115.454,0,194.669,0,0.0241034,0,21.55
1.00282,0,0,116.399,0,196.262,0,0.0240956,0,21.67
1.00282,0,0,117.343,0,197.853,0,0.024133,0,21.77
1.00282,0,0,118.2,0,199.442,0,0.0241175,0,21.88
1.00282,0,0,119.141,0,201.03,0,0.0241469,0,21.99
1.00282,0,0,120.082,0,202.615,0,0.0250351,0,22.1
1.00282,0,0,121.021,0,204.055,0,0.0254158,0,22.21
1.00282,0,0,121.959,0,205.637,0,0.0254537,0,22.31
1.00282,0,0,122.981,0,207.36,0,0.0254947,0,22.43
1.00282,0,0,123.917,0,208.938,0,0.025634,0,22.54
1.00282,0,0,124.767,0,210.371,0,0.0262213,0,22.64
1.00282,0,0,125.7,0,211.945,0,0.0262701,0,22.75
1.00282,0,0,126.633,0,213.517,0,0.0262718,0,22.86
1.00282,0,0,127.564,0,215.087,0,0.0262736,0,22.97
1.00282,0,0,128.494,0,216.655,0,0.0264527,0,23.08
1.00282,0,0,129.422,0,218.22,0,0.0265096,0,23.19
1.00282,0,0,130.35,0,219.784,0,0.0270026,0,23.3
1.00282,0,0,131.276,0,221.346,0,0.0270079,0,23.41
1.00282,0,0,132.117,0,222.906,0,0.0270132,0,23.52
1.00282,0,0,133.041,0,224.464,0,0.0270187,0,23.63
1.00282,0,0,134.048,0,226.019,0,0.0270246,0,23.74
1.00282,0,0,134.885,0,227.573,0,0.0275651,0,23.85
1.00282,0,0,135.805,0,229.124,0,0.0275742,0,23.96
1.00282,0,0,136.724,0,230.673,0,0.0275802,0,24.07
1.00282,0,0,137.642,0,232.08,0,0.0275858,0,24.17
1.00282,0,0,138.642,0,233.765,0,0.0275925,0,24.29
1.00282,0,0,139.474,0,235.168,0,0.0275982,0,24.4
1.00282,0,0,140.387,0,236.709,0,0.0281554,0,24.5
1.00282,0,0,141.3,0,238.387,0,0.0281624,0,24.62
1.00282,0,0,142.211,0,239.784,0,0.0281683,0,24.72
1.00282,0,0,143.121,0,241.318,0,0.0282335,0,24.83
1.00282,0,0,144.03,0,242.85,0,0.0282408,0,24.94
1.00282,0,0,144.937,0,244.38,0,0.0287548,0,25.05
1.00282,0,0,145.843,0,245.908,0,0.028766,0,25.17
1.00282,0,0,146.748,0,247.433,0,0.0288597,0,25.27
1.00282,0,0,147.651,0,248.956,0,0.0289254,0,25.38
1.00282,0,0,148.553,0,250.477,0,0.02894,0,25.49
1.00282,0,0,149.372,0,251.857,0,0.0290005,0,25.6
1.00282,0,0,150.271,0,253.374,0,0.029561,0,25.71
1.00282,0,0,151.169,0,254.888,0,0.0295814,0,25.81
1.00282,0,0,152.066,0,256.537,0,0.0296378,0,25.93
1.00282,0,0,153.042,0,258.046,0,0.0296728,0,26.04
1.00282,0,0,153.855,0,259.416,0,0.0296976,0,26.14
1.00282,0,0,154.747,0,260.921,0,0.0303193,0,26.25
1.00282,0,0,155.639,0,262.424,0,0.0303357,0,26.36
1.00282,0,0,156.528,3.19E-07,263.924,0,0.0303545,0,26.47
1.00282,0,0,157.417,0.000264567,265.422,0,0.085576,0,26.58
1.00322,0,0,158.303,0.00150058,266.917,0,0.386769,-0.0137603,26.69
1.00704,0,0,159.189,0.00415414,268.408,0,1.05646,-0.0585546,26.8
1.01655,0,0,160.073,0.0094165,269.891,0,2.40364,-0.137852,26.91
1.03759,0,0,160.958,0.0187772,271.351,0,4.84581,-0.249952,27.02
1.07007,0,0,161.847,0.032207,272.762,0,8.43399,-0.35372,27.13
1.11952,0,0,162.747,0.0499934,274.09,0,13.2408,-0.472685,27.24
1.16686,0,0,163.583,0.0680133,275.211,0,18.7754,-0.428719,27.35
1.2107,0,0,164.528,0.0846035,276.454,0,23.4713,-0.382081,27.46
1.25375,0,0,165.507,0.100659,277.802,0,28.0705,-0.422399,27.57
1.30507,0,0,166.608,0.121291,278.919,0,33.468,-0.52534,27.68
1.3702,0,0,167.664,0.14507,279.828,0,40.2054,-0.669246,27.79
1.46234,0,0,168.665,0.171961,280.383,0,47.5674,-1.11166,27.89
1.64506,0,0,169.775,0.207018,280.598,0,56.6682,-2.21659,28
1.9931,0,0,170.905,0.243432,280.627,0,66.2613,-4.28797,28.12
2.59534,0,0,172.073,0.279599,280.664,0,73.5472,-6.76372,28.22
3.54626,0,0,173.273,0.316426,280.713,0,81.0037,-10.3679,28.33
4.93394,0,0,174.502,0.353146,280.518,0,88.8256,-13.6733,28.44
6.66326,0,0,175.731,0.353146,283.712,0,85.5331,-17.8675,28.55
8.67687,0,0,176.931,0.353146,286.889,0,81.9239,-22.3526,28.66
11.3506,0,0,178.101,0.353146,289.906,0,78.4856,-26.622,28.77
14.4877,0,0,179.243,0.353146,292.801,0,75.1131,-30.7878,28.88
18.4226,-3.19E-05,6.28318,180.269,0.353547,295.396,-0.00500878,71.9341,-34.7068,28.99
22.0609,-0.00100495,6.28312,179.794,0.379082,293.453,-0.0932545,76.0992,-37.901,29.1
26.3803,-0.00305669,6.28297,179.255,0.418222,290.628,-0.269238,83.0985,-41.0504,29.21
31.0801,-0.00562164,6.28275,178.75,0.459526,287.398,-0.518303,90.9556,-44.8194,29.32
36.2205,-0.00842097,6.28248,178.271,0.499285,284.189,-0.826756,98.161,-48.9955,29.43
42.3302,-0.0114164,6.28241,177.772,0.514009,283.102,-1.17388,99.0128,-52.8762,29.54
47.8371,-0.0137934,6.28248,177.383,0.519253,283.421,-1.49616,96.1365,-56.9145,29.64
54.3677,-0.0163585,6.28248,176.975,0.530474,283.239,-1.84754,94.6016,-61.4069,29.75
61.3887,-0.0187508,6.2826,176.593,0.53542,283.588,-2.18899,91.5657,-65.8815,29.86
68.9138,-0.0208852,6.28269,176.238,0.540498,284.113,-2.49503,88.0127,-70.4729,29.97
76.9212,-0.0222067,6.28269,175.904,0.548589,284.208,-2.71415,85.8918,-74.6957,30.08
85.3822,-0.022944,6.28266,175.598,0.555548,284.385,-2.86033,83.6095,-78.7433,30.19
94.2776,-0.0233815,6.28253,175.321,0.561666,284.613,-2.94769,81.2738,-82.6092,30.3
103.587,-0.0236926,6.28229,175.074,0.566861,284.897,-2.98728,78.6432,-86.6178,30.42
112.393,-0.0239467,6.28197,174.858,0.571094,285.241,-2.98185,76.3741,-89.7915,30.52
122.436,-0.0242129,6.28156,174.691,0.571745,285.794,-2.94057,73.2284,-93.0719,30.63
132.831,-0.0244912,6.28113,174.544,0.569353,286.588,-2.86721,69.2157,-96.1576,30.74
143.55,-0.0248318,6.28063,174.435,0.565068,287.35,-2.76638,65.0433,-98.9368,30.85
154.56,-0.0252472,6.28005,174.366,0.559319,288.218,-2.65459,61.1705,-101.2,30.95
165.826,-0.0257444,6.27942,174.331,0.552338,289.156,-2.49879,56.5167,-103.563,31.07
177.311,-0.0261371,6.27874,174.3,0.54415,289.922,-2.32225,52.4465,-105.374,31.18
188.98,-0.0262814,6.27793,174.284,0.536373,290.615,-2.11443,48.6256,-106.863,31.29
200.798,-0.0263088,6.27714,174.28,0.53087,291.108,-1.90388,45.8448,-107.968,31.39
212.734,-0.0263043,6.27622,174.283,0.524669,291.593,-1.65515,43.0563,-108.928,31.5
224.763,-0.026362,6.27518,174.294,0.520215,291.999,-1.37003,40.7683,-109.749,31.62
236.865,-0.0265066,6.27404,174.307,0.517374,292.242,-1.12626,39.5061,-110.263,31.72
249.022,-0.0267309,6.27287,174.324,0.514472,292.494,-0.856816,38.2265,-110.717,31.83
261.223,-0.0270519,6.27167,174.344,0.512036,292.72,-0.591117,37.1499,-111.078,31.94
273.459,-0.0274849,6.27042,174.365,0.511303,292.877,-0.334011,36.628,-111.36,32.05
284.607,-0.0279619,6.26926,174.387,0.511713,292.974,-0.0899988,36.5645,-111.583,32.16
296.892,-0.0285562,6.26803,174.405,0.512044,293.072,0.136537,36.4828,-111.798,32.27
309.2,-0.0292178,6.26685,174.425,0.512385,293.166,0.341693,36.4106,-112.006,32.38
322.653,-0.0300037,6.26562,174.443,0.512793,293.256,0.522255,36.3588,-112.209,32.49
333.884,-0.0306968,6.26467,174.457,0.51327,293.339,0.67572,36.3357,-112.406,32.6
346.258,-0.0314844,6.2637,174.472,0.513707,293.421,0.800308,36.3137,-112.6,32.71
358.654,-0.0322838,6.26283,174.486,0.514195,293.492,0.894964,36.2951,-112.793,32.82
371.07,-0.0330803,6.26205,174.498,0.514692,293.575,0.959343,36.2792,-112.983,32.93
383.508,-0.0339298,6.26131,174.509,0.515243,293.648,0.993777,36.2658,-113.171,33.04
395.966,-0.0346106,6.26078,174.517,0.515711,293.713,0.999893,36.2556,-113.341,33.14
408.445,-0.0353199,6.2603,174.525,0.516234,293.781,0.980315,36.2464,-113.526,33.25
420.944,-0.0359783,6.25991,174.531,0.516765,293.847,0.929837,36.2385,-113.727,33.37
433.463,-0.0365776,6.2596,174.536,0.517304,293.911,0.86679,36.2335,-113.893,33.47
444.861,-0.0371112,6.25938,174.539,0.517852,293.972,0.778094,36.2295,-114.074,33.58
458.561,-0.0375745,6.25923,174.541,0.518408,294.03,0.672134,36.2268,-114.255,33.69
471.14,-0.0379646,6.25913,174.541,0.518971,294.086,0.552196,36.2254,-114.434,33.8
483.738,-0.0382805,6.25909,174.54,0.519541,294.139,0.421682,36.2252,-114.612,33.91
495.208,-0.0385039,6.25909,174.538,0.520118,294.19,0.284026,36.226,-114.79,34.02
507.844,-0.0386813,6.25911,174.534,0.5207,294.238,0.14262,36.2277,-114.967,34.13
520.499,-0.0387974,6.25916,174.528,0.521288,294.284,0.000739746,36.2302,-115.144,34.24
533.174,-0.0388368,6.2592,174.522,0.521827,294.323,-0.126043,36.2331,-115.304,34.34
545.868,-0.0388259,6.25924,174.514,0.522423,294.368,-0.272291,36.2374,-115.495,34.46
558.581,-0.0387647,6.25927,174.504,0.523022,294.402,-0.398008,36.2418,-115.669,34.57
571.313,-0.0386609,6.25927,174.493,0.523624,294.441,-0.51342,36.2466,-115.843,34.68
584.065,-0.0385227,6.25924,174.48,0.524229,294.471,-0.607798,36.2513,-116.001,34.79
596.835,-0.0383584,6.25917,174.466,0.524835,294.502,-0.698598,36.2568,-116.174,34.89
609.625,-0.0381768,6.25906,174.45,0.525442,294.53,-0.774642,36.2629,-116.362,35.01
622.433,-0.0379863,6.2589,174.433,0.52605,294.555,-0.835156,36.2682,-116.518,35.12
635.26,-0.0377951,6.25869,174.414,0.526658,294.578,-0.879749,36.2739,-116.689,35.22
648.106,-0.0376108,6.25842,174.394,0.527267,294.599,-0.908402,36.2796,-116.86,35.33
659.801,-0.0374409,6.25809,174.373,0.527874,294.618,-0.921444,36.2852,-117.029,35.44
673.855,-0.0372916,6.25771,174.349,0.528481,294.634,-0.919523,36.2906,-117.198,35.55
685.583,-0.0371787,6.25732,174.325,0.529087,294.647,-0.903578,36.2957,-117.367,35.66
698.502,-0.0370839,6.25685,174.301,0.529692,294.659,-0.874798,36.3006,-117.534,35.77
711.439,-0.0370239,6.25632,174.274,0.530241,294.667,-0.834582,36.3051,-117.7,35.88
725.573,-0.0370014,6.2557,174.242,0.530898,294.674,-0.784495,36.3093,-117.866,35.99
737.367,-0.0370188,6.25514,174.214,0.531444,294.678,-0.726227,36.313,-118.03,36.1
750.359,-0.0370768,6.2545,174.183,0.532042,294.68,-0.667643,36.3162,-118.193,36.21
763.368,-0.0371756,6.25384,174.149,0.532639,294.679,-0.592256,36.319,-118.355,36.32
776.395,-0.0373145,6.25315,174.115,0.533321,294.676,-0.520157,36.3238,-118.516,36.43
789.441,-0.0375251,6.25237,174.078,0.535385,294.623,-0.453617,36.7053,-118.675,36.54
802.506,-0.0377828,6.25157,174.037,0.538141,294.532,-0.380749,37.3232,-118.855,36.65
815.593,-0.0380743,6.25075,173.991,0.540913,294.439,-0.309832,37.8841,-119.081,36.75
828.707,-0.0384001,6.24993,173.94,0.543809,294.338,-0.242392,38.4786,-119.374,36.87
841.854,-0.038765,6.24909,173.883,0.547201,294.215,-0.179752,39.0586,-119.655,36.97
855.036,-0.0391579,6.24826,173.821,0.550784,294.078,-0.123021,39.7095,-120.004,37.08
868.26,-0.0395715,6.24743,173.752,0.554411,293.936,-0.0731372,40.315,-120.398,37.19
880.321,-0.0400017,6.24662,173.677,0.558085,293.786,-0.0308193,40.881,-120.836,37.3
893.637,-0.0403973,6.2459,173.596,0.561387,293.639,0.00343474,41.349,-121.304,37.41
907.005,-0.0407788,6.24526,173.517,0.562335,293.591,0.0292691,41.0522,-121.805,37.52
920.428,-0.0411655,6.24458,173.421,0.563387,293.535,0.0465449,40.7737,-122.297,37.63
933.904,-0.0415832,6.24399,173.33,0.564385,293.475,0.055418,40.5037,-122.764,37.74
947.431,-0.0419239,6.24347,173.245,0.565265,293.414,0.0561922,40.2462,-123.207,37.85
961.005,-0.0422876,6.24293,173.149,0.566199,293.343,0.0493151,39.9998,-123.628,37.96
974.624,-0.0426367,6.24242,173.052,0.56718,293.258,0.0353615,39.7638,-124.027,38.07
988.286,-0.0429686,6.24193,172.952,0.567955,293.184,0.0150157,39.5346,-124.406,38.18
1001.99,-0.0432816,6.24146,172.849,0.568771,293.098,-0.00837772,39.3324,-124.733,38.28
1015.73,-0.0435748,6.24102,172.745,0.569553,293.007,-0.0387188,39.1186,-125.073,38.4
1029.51,-0.0438473,6.24059,172.64,0.570301,292.912,-0.0730249,38.9131,-125.395,38.5
1043.32,-0.044099,6.24018,172.532,0.571016,292.812,-0.113893,38.6978,-125.725,38.62
1057.16,-0.0443301,6.23977,172.423,0.571697,292.709,-0.149852,38.5251,-125.984,38.72
1071.04,-0.0445411,6.23938,172.312,0.572345,292.602,-0.190531,38.3417,-126.253,38.83
1084.94,-0.0447332,6.23899,172.199,0.572959,292.492,-0.231527,38.1647,-126.505,38.94
1098.87,-0.0449078,6.23861,172.085,0.573539,292.378,-0.271997,37.9937,-126.741,39.05
1112.83,-0.0450664,6.23822,171.97,0.574086,292.261,-0.311162,37.8284,-126.961,39.16
1125.53,-0.0451985,6.23787,171.854,0.5746,292.142,-0.348311,37.6685,-127.166,39.27
1139.53,-0.0453323,6.23747,171.747,0.575079,292.019,-0.38282,37.5135,-127.357,39.38
