Label,Lags,P
Airspeed Granger-causes Altitude,80,3.893923307644734e-18
Airspeed Granger-causes Altitude,90,1.4745489174811438e-17
Airspeed Granger-causes Altitude,100,7.438293345276857e-18
Airspeed Granger-causes Altitude,110,1.25729802914913e-17
Airspeed Granger-causes Altitude,120,2.0603005033445705e-15
Airspeed Granger-causes Altitude,130,8.147043528588434e-15
Airspeed Granger-causes Altitude,140,2.246203233830313e-14
Airspeed Granger-causes Altitude,150,6.831324009738639e-14
Airspeed Granger-causes Altitude,160,6.131094146493384e-14
Airspeed Granger-causes Altitude,170,3.008210259057103e-12
Airspeed Granger-causes Altitude,180,2.7940710342607464e-12
Airspeed Granger-causes Altitude,190,9.81745444228184e-12
Airspeed Granger-causes Altitude,200,8.078906149583867e-11
Pitch Granger-causes Altitude,10,2.7217424240966006e-281
Pitch Granger-causes Altitude,20,5.090356355486976e-268
Pitch Granger-causes Altitude,30,5.22793056272476e-265
Pitch Granger-causes Altitude,40,6.616143839131974e-271
Pitch Granger-causes Altitude,50,9.084303281986773e-277
Pitch Granger-causes Altitude,60,2.5547659165852e-270
Pitch Granger-causes Altitude,70,1.4045612643002391e-266
Pitch Granger-causes Altitude,80,1.640391687355043e-262
Pitch Granger-causes Altitude,90,5.210338052488149e-258
Pitch Granger-causes Altitude,100,1.8332593503545835e-253
Pitch Granger-causes Altitude,110,2.5695860313283944e-249
Pitch Granger-causes Altitude,120,2.4962703356567975e-244
Pitch Granger-causes Altitude,130,2.352431388765725e-239
Pitch Granger-causes Altitude,140,4.701863585346657e-236
Pitch Granger-causes Altitude,150,2.1724775775009003e-231
Pitch Granger-causes Altitude,160,1.427997137539399e-227
Pitch Granger-causes Altitude,170,7.099500401964637e-222
Pitch Granger-causes Altitude,180,2.8234480342481483e-218
Pitch Granger-causes Altitude,190,2.978578312713438e-216
Pitch Granger-causes Altitude,200,2.2264290525243803e-213
Airspeed Granger-causes Pitch,10,0.0
Airspeed Granger-causes Pitch,20,0.0
Airspeed Granger-causes Pitch,30,0.0
Airspeed Granger-causes Pitch,40,0.0
Airspeed Granger-causes Pitch,50,0.0
Airspeed Granger-causes Pitch,60,0.0
Airspeed Granger-causes Pitch,70,0.0
Airspeed Granger-causes Pitch,80,0.0
Airspeed Granger-causes Pitch,90,0.0
Airspeed Granger-causes Pitch,100,0.0
Airspeed Granger-causes Pitch,110,0.0
Airspeed Granger-causes Pitch,120,0.0
Airspeed Granger-causes Pitch,130,0.0
Airspeed Granger-causes Pitch,140,0.0
Airspeed Granger-causes Pitch,150,0.0
Airspeed Granger-causes Pitch,160,0.0
Airspeed Granger-causes Pitch,170,0.0
Airspeed Granger-causes Pitch,180,0.0
Airspeed Granger-causes Pitch,190,0.0
Airspeed Granger-causes Pitch,200,0.0
Altitude Granger-causes Pitch,10,0.027570745337124135
Altitude Granger-causes Pitch,20,4.518827384883349e-07
Altitude Granger-causes Pitch,30,2.8678674364648885e-08
Altitude Granger-causes Pitch,40,1.8904478812590681e-10
Altitude Granger-causes Pitch,50,5.780432741310388e-11
Altitude Granger-causes Pitch,60,5.2145738193382454e-17
Altitude Granger-causes Pitch,70,6.772525839903481e-19
Altitude Granger-causes Pitch,80,6.914642385061912e-21
Altitude Granger-causes Pitch,90,2.7559811559237993e-23
Altitude Granger-causes Pitch,100,1.3228742057994309e-23
Altitude Granger-causes Pitch,110,1.8943330040574603e-22
Altitude Granger-causes Pitch,120,1.0267375946100192e-22
Altitude Granger-causes Pitch,130,3.696340535829016e-22
Altitude Granger-causes Pitch,140,2.2976715912680496e-20
Altitude Granger-causes Pitch,150,5.215518772515606e-19
Altitude Granger-causes Pitch,160,6.941268476836834e-18
Altitude Granger-causes Pitch,170,2.517021256215124e-17
Altitude Granger-causes Pitch,180,4.304753793965119e-20
Altitude Granger-causes Pitch,190,2.8576735418163626e-20
Altitude Granger-causes Pitch,200,4.759900788728667e-21
